Taxon,Name Status,Referred iNaturalist Id,Referred iNaturalist Name,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species
Acer campestre,accepted,56193,Acer campestre,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Sapindales,,,,Sapindaceae,,,Acer,campestre
Acer ginnala,accepted,123638,Acer ginnala,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Sapindales,,,,Sapindaceae,,,Acer,ginnala
Acer rubrum,accepted,48098,Acer rubrum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Sapindales,,,,Sapindaceae,,,Acer,rubrum
Acer rubrum var. rubrum,accepted,49675,Acer rubrum rubrum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Sapindales,,,,Sapindaceae,,,Acer,rubrum
Acer saccharinum,accepted,54762,Acer saccharinum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Sapindales,,,,Sapindaceae,,,Acer,saccharinum
Adiantum raddianum,accepted,158023,Adiantum raddianum,Plantae,Tracheophyta,,,Polypodiopsida,Polypodiidae,,Polypodiales,Pteridineae,,,Pteridaceae,Vittarioideae,,Adiantum,raddianum
Adlumia fungosa,accepted,158027,Adlumia fungosa,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,,Papaveraceae,Fumarioideae,Corydaleae,Adlumia,fungosa
Aegilops cylindrica,accepted,75290,Aegilops cylindrica,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Triticeae,Aegilops,cylindrica
Aegilops tauschii,accepted,371638,Aegilops tauschii,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Triticeae,Aegilops,tauschii
Aethusa cynapium,accepted,158043,Aethusa cynapium,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Apioideae,Selineae,Aethusa,cynapium
Agrostemma githago,accepted,75310,Agrostemma githago,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Caryophyllaceae,Caryophylloideae,Sileneae,Agrostemma,githago
Allium cepa,accepted,48592,Allium cepa,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Amaryllidaceae,Allioideae,Allieae,Allium,cepa
Allium sativum,accepted,75363,Allium sativum,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Amaryllidaceae,Allioideae,Allieae,Allium,sativum
Allium scorodoprasum,accepted,158194,Allium scorodoprasum,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Amaryllidaceae,Allioideae,Allieae,Allium,scorodoprasum
Allium x proliferum,accepted,1080360,Allium,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Amaryllidaceae,Allioideae,Allieae,Allium,
Alopecurus myosuroides,accepted,75383,Alopecurus myosuroides,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Poeae,Alopecurus,myosuroides
Amaranthus cruentus,accepted,52328,Amaranthus cruentus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Amaranthaceae,Amaranthoideae,,Amaranthus,cruentus
Amaranthus hypochondriacus,accepted,75396,Amaranthus hypochondriacus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Amaranthaceae,Amaranthoideae,,Amaranthus,hypochondriacus
Amaranthus rudis,accepted,158253,Amaranthus rudis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Amaranthaceae,Amaranthoideae,,Amaranthus,rudis
